1
522.000000,73.000000,64.000000,41.000000
518.000000,76.000000,65.000000,39.000000
511.000000,78.000000,70.000000,39.000000
508.000000,79.000000,68.000000,40.000000
502.000000,81.000000,66.000000,41.000000
497.000000,81.000000,68.000000,44.000000
492.000000,83.000000,69.000000,43.000000
487.000000,83.000000,72.000000,44.000000
483.000000,84.000000,72.000000,45.000000
479.000000,85.000000,73.000000,45.000000
473.000000,88.000000,74.000000,45.000000
469.000000,89.000000,75.000000,46.000000
464.000000,93.000000,74.000000,44.000000
461.000000,94.000000,73.000000,43.000000
454.000000,95.000000,74.000000,45.000000
450.000000,97.000000,75.000000,45.000000
448.000000,97.000000,75.000000,46.000000
443.000000,100.000000,77.000000,47.000000
437.000000,102.000000,79.000000,48.000000
435.000000,103.000000,78.000000,49.000000
426.000000,108.000000,83.000000,47.000000
425.000000,111.000000,77.000000,47.000000
422.000000,110.000000,82.000000,51.000000
419.000000,114.000000,85.000000,51.000000
416.000000,114.000000,86.000000,54.000000
417.000000,116.000000,84.000000,54.000000
415.000000,120.000000,84.000000,53.000000
415.000000,121.000000,82.000000,52.000000
412.000000,126.000000,86.000000,52.000000
408.000000,131.000000,86.000000,51.000000
410.000000,132.000000,92.000000,52.000000
410.000000,136.000000,92.000000,53.000000
413.000000,135.000000,94.000000,55.000000
414.000000,138.000000,94.000000,56.000000
410.000000,141.000000,95.000000,56.000000
403.000000,149.000000,99.000000,53.000000
405.000000,148.000000,101.000000,59.000000
399.000000,154.000000,104.000000,59.000000
398.000000,158.000000,108.000000,61.000000
406.000000,158.000000,108.000000,61.000000
409.000000,162.000000,109.000000,60.000000
407.000000,165.000000,112.000000,60.000000
395.000000,175.000000,116.000000,61.000000
398.000000,177.000000,119.000000,63.000000
413.000000,179.000000,110.000000,61.000000
411.000000,178.000000,111.000000,65.000000
410.000000,183.000000,113.000000,66.000000
398.000000,192.000000,123.000000,65.000000
396.000000,193.000000,127.000000,65.000000
402.000000,200.000000,121.000000,62.000000
404.000000,203.000000,113.000000,64.000000
392.000000,204.000000,124.000000,68.000000
386.000000,212.000000,127.000000,66.000000
377.000000,217.000000,123.000000,67.000000
375.000000,219.000000,125.000000,70.000000
369.000000,220.000000,123.000000,75.000000
376.000000,225.000000,114.000000,70.000000
367.000000,230.000000,122.000000,72.000000
365.000000,235.000000,117.000000,69.000000
361.000000,237.000000,123.000000,71.000000
362.000000,238.000000,120.000000,70.000000
354.000000,244.000000,124.000000,70.000000
354.000000,245.000000,119.000000,71.000000
351.000000,251.000000,124.000000,66.000000
348.000000,253.000000,115.000000,67.000000
353.000000,259.000000,117.000000,62.000000
345.000000,261.000000,118.000000,64.000000
349.000000,263.000000,112.000000,62.000000
348.000000,266.000000,116.000000,59.000000
341.000000,264.000000,116.000000,64.000000
338.000000,267.000000,111.000000,60.000000
336.000000,267.000000,111.000000,60.000000
324.000000,267.000000,105.000000,63.000000
320.000000,264.000000,107.000000,64.000000
319.000000,268.000000,109.000000,58.000000
316.000000,265.000000,113.000000,61.000000
312.000000,267.000000,103.000000,56.000000
307.000000,265.000000,106.000000,57.000000
298.000000,262.000000,108.000000,60.000000
295.000000,262.000000,109.000000,58.000000
294.000000,263.000000,103.000000,57.000000
290.000000,262.000000,102.000000,56.000000
287.000000,260.000000,103.000000,57.000000
279.000000,254.000000,103.000000,60.000000
278.000000,256.000000,101.000000,58.000000
274.000000,256.000000,97.000000,57.000000
268.000000,251.000000,103.000000,59.000000
263.000000,249.000000,104.000000,59.000000
260.000000,250.000000,99.000000,59.000000
258.000000,248.000000,105.000000,58.000000
297.000000,256.000000,132.000000,61.000000
290.000000,250.000000,130.000000,63.000000
292.000000,251.000000,130.000000,61.000000
279.000000,249.000000,138.000000,61.000000
280.000000,246.000000,127.000000,60.000000
273.000000,244.000000,135.000000,60.000000
274.000000,242.000000,134.000000,62.000000
267.000000,239.000000,136.000000,61.000000
270.000000,238.000000,132.000000,59.000000
258.000000,233.000000,145.000000,62.000000
255.000000,229.000000,139.000000,61.000000
263.000000,229.000000,133.000000,59.000000
263.000000,228.000000,135.000000,60.000000
266.000000,226.000000,130.000000,58.000000
263.000000,222.000000,136.000000,59.000000
267.000000,220.000000,134.000000,61.000000
270.000000,218.000000,131.000000,61.000000
269.000000,212.000000,131.000000,62.000000
277.000000,212.000000,124.000000,61.000000
278.000000,211.000000,126.000000,60.000000
279.000000,209.000000,127.000000,59.000000
280.000000,206.000000,128.000000,58.000000
283.000000,203.000000,126.000000,58.000000
286.000000,202.000000,130.000000,60.000000
292.000000,201.000000,124.000000,57.000000
292.000000,198.000000,125.000000,60.000000
298.000000,200.000000,120.000000,57.000000
298.000000,197.000000,120.000000,60.000000
303.000000,196.000000,117.000000,55.000000
307.000000,194.000000,115.000000,55.000000
310.000000,191.000000,113.000000,55.000000
314.000000,192.000000,113.000000,56.000000
319.000000,190.000000,108.000000,56.000000
320.000000,190.000000,110.000000,57.000000
322.000000,189.000000,114.000000,58.000000
324.000000,187.000000,114.000000,56.000000
327.000000,186.000000,114.000000,55.000000
328.000000,186.000000,110.000000,55.000000
330.000000,183.000000,108.000000,56.000000
333.000000,183.000000,113.000000,59.000000
334.000000,184.000000,108.000000,55.000000
336.000000,182.000000,106.000000,53.000000
337.000000,183.000000,110.000000,57.000000
338.000000,179.000000,105.000000,53.000000
338.000000,179.000000,108.000000,55.000000
339.000000,179.000000,105.000000,55.000000
338.000000,181.000000,108.000000,59.000000
342.000000,177.000000,100.000000,53.000000
346.000000,177.000000,101.000000,52.000000
349.000000,180.000000,103.000000,55.000000
350.000000,182.000000,103.000000,55.000000
353.000000,181.000000,99.000000,55.000000
353.000000,180.000000,95.000000,51.000000
358.000000,180.000000,93.000000,51.000000
359.000000,179.000000,94.000000,52.000000
358.000000,180.000000,94.000000,53.000000
360.000000,179.000000,91.000000,52.000000
362.000000,179.000000,90.000000,52.000000
363.000000,179.000000,87.000000,50.000000
364.000000,177.000000,85.000000,48.000000
361.000000,176.000000,85.000000,47.000000
362.000000,172.000000,81.000000,45.000000
359.000000,173.000000,81.000000,49.000000
356.000000,170.000000,83.000000,47.000000
356.000000,166.000000,82.000000,44.000000
